"D.sum"	"S.sum"	"Total"	"NrmD"	"NrmS"
"BLA.10"	35778	30813	66591	0.537279812587287	0.462720187412713
"BLA.1"	35519	30998	66517	0.533983793616669	0.466016206383331
"BLY1.6"	37073	31890	68963	0.537578121601438	0.462421878398562
"BLY1.9"	40195	34304	74499	0.539537443455617	0.460462556544383
"BLY2.10"	37503	32589	70092	0.535053929121726	0.464946070878274
"BRA.100"	29531	26923	56454	0.523098451836894	0.476901548163106
"BRA.101"	1258	29468	30726	0.0409425242465664	0.959057475753434
"BRA.102"	32206	29087	61293	0.525443362211019	0.474556637788981
"BRA.103"	32971	29473	62444	0.528009096150151	0.471990903849849
"BRA.106"	31993	28410	60403	0.529659122891247	0.470340877108753
"BRA.108"	30361	27149	57510	0.52792557816032	0.47207442183968
"BRA.109"	14578	30190	44768	0.325634381701215	0.674365618298785
"BRA.10"	29676	26982	56658	0.523774224293127	0.476225775706873
"BRA.110"	12989	28973	41962	0.309541966541156	0.690458033458844
"BRA.112"	40742	32733	73475	0.554501531133038	0.445498468866962
"BRA.114"	34188	30466	64654	0.528783988616327	0.471216011383673
"BRA.115"	34971	30088	65059	0.537527475061098	0.462472524938902
"BRA.116"	31513	27788	59301	0.531407564796546	0.468592435203454
"BRA.117"	1919	29248	31167	0.0615715339942888	0.938428466005711
"BRA.118"	35016	30265	65281	0.536388842082689	0.463611157917311
"BRA.11"	10761	29213	39974	0.269199979986992	0.730800020013008
"BRA.120"	36977	31388	68365	0.540876179331529	0.459123820668471
"BRA.121"	31473	28616	60089	0.523773069946246	0.476226930053754
"BRA.122"	32789	28202	60991	0.537603908773426	0.462396091226574
"BRA.123"	32665	29285	61950	0.5272800645682	0.4727199354318
"BRA.124"	25673	23699	49372	0.51999108806611	0.48000891193389
"BRA.125"	3040	27048	30088	0.101036958255783	0.898963041744217
"BRA.127"	31843	28824	60667	0.524881731419058	0.475118268580942
"BRA.128.141"	27063	24955	52018	0.520262216924911	0.479737783075089
"BRA.128"	27875	26682	54557	0.510933519071797	0.489066480928204
"BRA.129"	29843	27050	56893	0.524546077724852	0.475453922275148
"BRA.12"	1843	29640	31483	0.0585395292697646	0.941460470730235
"BRA.130"	30375	28606	58981	0.514996354758312	0.485003645241688
"BRA.131"	38796	33201	71997	0.538855785657736	0.461144214342264
"BRA.132"	23333	29660	52993	0.440303436302908	0.559696563697092
"BRA.133"	35147	33534	68681	0.511742694486102	0.488257305513898
"BRA.135"	35744	30824	66568	0.536954692945559	0.463045307054441
"BRA.136"	26967	25587	52554	0.513129352665829	0.486870647334171
"BRA.137"	2164	22363	24527	0.0882292983242957	0.911770701675704
"BRA.138"	2930	28634	31564	0.0928272715752123	0.907172728424788
"BRA.139"	28235	26308	54543	0.517664961589938	0.482335038410062
"BRA.140"	30817	26920	57737	0.533747856660374	0.466252143339626
"BRA.141"	32209	28945	61154	0.526686725316414	0.473313274683586
"BRA.143"	35528	30457	65985	0.538425399712056	0.461574600287944
"BRA.145"	28552	25730	54282	0.525993883792049	0.474006116207951
"BRA.147"	10589	7832	18421	0.574833070951631	0.425166929048369
"BRA.148"	31469	28397	59866	0.525657301306251	0.474342698693749
"BRA.149"	42661	29076	71737	0.594686145224919	0.405313854775081
"BRA.150"	36493	31654	68147	0.535504130776116	0.464495869223884
"BRA.151"	34671	13205	47876	0.724183306876097	0.275816693123903
"BRA.152"	31711	28578	60289	0.525983181011461	0.474016818988539
"BRA.153"	29166	26634	55800	0.522688172043011	0.477311827956989
"BRA.154"	39644	31952	71596	0.553718084809207	0.446281915190793
"BRA.155"	5900	5465	11365	0.519137703475583	0.480862296524417
"BRA.156"	5566	5544	11110	0.500990099009901	0.499009900990099
"BRA.157"	28202	25486	53688	0.52529429295187	0.47470570704813
"BRA.158"	14946	10467	25413	0.588124188407508	0.411875811592492
"BRA.159"	15842	25154	40996	0.386427944189677	0.613572055810323
"BRA.161"	31697	28726	60423	0.524585009019744	0.475414990980256
"BRA.162"	516	30378	30894	0.0167022722858808	0.983297727714119
"BRA.163"	29359	31187	60546	0.484904039903544	0.515095960096456
"BRA.164"	30823	27735	58558	0.526367020731582	0.473632979268418
"BRA.165"	1053	30331	31384	0.0335521284731073	0.966447871526893
"BRA.166"	238	25436	25674	0.00927007867881904	0.990729921321181
"BRA.167"	6094	28750	34844	0.174893812421077	0.825106187578923
"BRA.168"	32683	29015	61698	0.529725436805083	0.470274563194917
"BRA.169"	18096	17425	35521	0.509445116973058	0.490554883026942
"BRA.170"	30878	26643	57521	0.53681264233932	0.46318735766068
